tr	ota
müstatıbb	مستطب
söz dağarcığı	سوز طاغارجغي
bedan	بدان
lojman	لوژمان
nüvre	نوره
ehadd	احد
kuşe kağıdı	قوشه كاغدي
öfkelendirme	أوفكه لنديرمه
karabinyer	قرابينير
bonservis	بونسرويس
angolalı	آنغوله لي
özerdim	أوز أرديم
hal	حال
cehvere	جهوره
akyiğit	آق ييگيت
başçiftlik	باش چيفتلك
avlama	آولامه 
özgürel	أوزگور أل
agaz	آغاز
pastörize	پاستوريزه
müdavele	مداوله
rumeli feneri	روم ايلي فناري
kıymetlendirmek	قيمتلنديرمك
tebşire	تبشيره
rakmiyat	رقميات
sülvan	سلوان
biray	بر آي
zevrak	زورق
musaraha	مصارحه
soner	صوڭ أر
salat-ı istiska	صلات استسقا
ispinozgiller	ايسپينوزگيللر
ateşlilik	آتشليلك
mütehaffif	متخفف
akyuvar	آق يووار
selef	سلف
çilehane-i uzlet	چله خانۀ عزلت
çeharüm	چهارم
ifza	افزاع
kamış	قاميش
ribet	ريبت
tanrıcılık	طاڭريجيلق
mufahham	مفحم
kolalanmak	قوله لانمق
efsane-perdaz	افسانه پرداز
yargıcılar kurulu	يارغيجيلر قورولي
rubeh	روبه
halef selef	خلف سلف
tevhid-i şühud	توحيد شهود
kanatlandırmak	قناتلانديرمق
çıngar	چينغار
konsül	قونسول
keçeleştirme	كچه لشديرمه
keyfe halük	كيف حالك
iltifatlı	التفاتلي
heym	هيم
çingeneleşme	چنگانه لشمه
baydar	بايدار
ön seçici	أوڭ سچيجي
nakiş	نقيش
tamlayan	تاملايان
sedyelik olmak	سديه لك اولمق
taluy	طالوي
manevi	معنوي
çünkü	چونكه
katia	قطيعه
devlet-abadi	دولت آبادي
buluşmak	بولوشمق
oldurma	اولديرمه 
veşel	وشل
sorumsuzlaştırma	صورومسزلاشديرمه 
kırkma	قيرقمه 
adrahş	آدرخش
fütl	فتل
salk	صلق
boraks	بوراقس
mikoloji	ميقولوژي
bakır çalığı	باقير چاليغي
vantrilok	وانتريلوق
kitap kurdu	كتاب قوردي
müfessirin	مفسرين
hefte	هفته
hademat	خدمات
kandiye	قنديه
nüfus kütüğü	نفوس كوتوگي
mütenasir	متناثر
attas	عطاس
medhal-dar	مدخلدار
pişe-kar	پيشه كار
intibak	انتباك
duetto	دوئتتو
nazmiye	نظميه
şıkza	شقذا
fasur	فاثور
adem-i müdahale	عدم مداخله
türemiş zarf	توره مش ظرف
demirağ	دمير آغ
tazarru-karane	تضرعكارانه
şamih	شامخ
şur-baht	شور بخت
resan	رسان
hırtlık	خيرتلق
tepeli bülbül	تپه لي بلبل
jajha	ژاژخا
bugat	بغات
alihe	آلهه
hutam	حطام
mahkeme	محكمه
bahs	بحث
farmakognozi	فارماقوغنوزي
cevan	جوان
çentmek	چنتمك
ehl-i hibre	اهل خبره
şelyak	شلياق
hicaz-aşiran	حجاز عشيران
cüret-yab	جرئتياب
ürkütmek	أوركوتمك
senetleşme	سندلشمه
lebbeleb	لب بلب
aralık	آرالق
evşen	اوشن
çengerli	چنگرلي
kusb	قصب
koşum hayvanı	قوشوم حيواني
densiz	دڭسز
ünlü değişimi	أوڭلي دگيشيمي
kroki	قروكي
kemmi	كمي
gözlenme	گوزلنمه
terras	تراس
trampet	ترامپت
okullu	اوقوللي
ölü saat	أولو ساعت
yıldızlaşmak	ييلديزلاشمق
ruh-i nur	روح نور
nizamiye karakolu	نظاميه قره قولي
eder	ايدر
solgun	صولغون
şereng	شرنگ
kürdabe	كردابه
fener balığıgiller	فنار باليغيگيللر
yoğrulmak	يوغرولمق
behreme	بهرمه
kumbaşı	قوم باشي
nekz	نكظ
oyun ebesi	اويون ابه سي
tenadi	تنادي
maani-i medlule	معانئ مدلوله
hastalanmak	خسته لانمق
istisnan	استسنان
mağşi	مغشي
numaralı	نومره لي
sezaryenli	سزارينلي
teskıye	تسقيه
nefis	نفيس
yurdanur	يورده نور
karaballık	قره باللق
masd	مصد
amul	عمول
deyimleşme	دييملشمه
antiloplar	آنتيلوپلر
sıcaklaşmak	صيجاقلاشمق
maacin	معاجين
nüzullü	نزوللي
şebab	شباب
münafıkun suresi	منافقون سوره سي
ümmügülsüm	ام كلثوم
gayr-i mütenahi	غير متناهي
haramilik	حراميلك
özlük hakkı	أوزلك حقي
hurşid	خورشيد
rencber	رنجبر
mübağbağ	مبغبغ
nicelemek	نيجه له مك
iş merkezi	ايش مركزي
yasama hakkı	ياسامه حقي
müntakız	منتقض
alabalık	آلاباليق
metbuiyet	متبوعيت
kamu yönetimi	قامو يونتيمي
istihlal	استحلال
ayla	آيله
kam-rani	كامراني
hoyratlık etmek	خورياتلق ايتمك
makame	مقامه
üçkardeş	أوچ قرداش
yaşmaklanma	ياشماقلانمه 
çarpıtılma	چارپيتيلمه 
imlac	املاج
şinasi	شناسي
kusursuz	قصورسز
ıkıl ıkıl	ايقيل ايقيل
ekarim	اكارم
alem-gir	عالمگير
mekarih	مكاره
kebise	كبيسه
zakirin	ذاكرين
sarre	صره
ırmak roman	ايرماق رومان
beklenme	بكلنمه
mensub	منسوب
zaar	ذعر
mütearrık	متعرق
meydan	ميدان
mücahid	مجاهد
buhurdanlık	بخوردانلق
maksus	مقصوص
müctehid fiş-şer	مجتهد في الشرع
mebal	مبال
maskara	مسخره
müstebitlik	مستبدلك
doktorasız	دوقتوره سز
li-üm	لأم
yaban maydanozu	يبان مايدانوزي
ognut	اوغنوط
şekibe	شكيبه
terbi	تربيع
zuhur etmek	ظهور ايتمك
rüsvayi	رسوايي
klikleşmek	قليكلشمك
bi-naz	بي ناز
dayanıksızlık	طايانيقسزلق
kimisi	كيميسي
vaşiye	واشيه
pozitif sayı	پوزيتيف صايي
temsilat	تمثيلات
beyati	بياتي
nüvaz	نواز
kabir azabı	قبر عذابي
yelteniş	يلتنيش
fuala	فعلا
mefasıl	مفاصل
hiçten	هيچدن
tetikçi	تتيكجي
kopçalama	قوپچه لامه 
yaz kış	ياز قيش
tahaküm	تحاكم
yapı bilgisi	ياپي بيلگيسي
lüdune	لدونه
geriniş	گرينيش
sadberk	صدبرك
tediben	تأديبًا
sihr-i beyani	سحر بياني
menuat	منوعات
iri yarı	ايري ياري
kelal	كلال
uyaralp	اويار آلپ
efile	افيله
esliha-i nariye	اسلحۀ ناريه
tazammun	تضمن
mehire	مهيره
perendvar	پرندوار
nezaketli	نزاكتلي
yabalama	يابه لامه 
bagiyane	باغيانه
seçmen kütüğü	سچمن كوتوگي
ücem	اجم
habak	خباك
pazar yeri	پازار يري
na-müstaid	نامستعد
nehafe	نحافه
şeyhan	شيخان
kühle	كحله
ehval	اهوال
agreje	آغرژه
vidanjör	ويدانژور
ruhiye	روحيه
amansız	آمانسز
ehdeb	اهدب
kibir	كبر
belinograf	بلينوغراف
devai	دوائي
pamuklanmak	پاموقلانمق
azire	عذره
netğ	نتغ
aziş	آذيش
sefer-güzin	سفرگزين
iç işleri	ايچ ايشلري
tekalif-i ayniye	تكاليف عينيه
siydirmek	سيگديرمك
donuk	طوڭوق
maskeli	ماسكه لي
imza günü	امضا گوني
acemi	عجمي
kalıp kıyafet	قالب قيافت
çengi	چنگي
latife-i rabbaniye	لطيفۀ ربانيه
mecal	مجال
ayarlı	عيارلي
elektriklendirme	الكتريكلنديرمه
ögeday	أوگه داي
ayakçın	آياقچين
simit	سيميت
ıtfet	عطفت
mükeyyes	مكيس
eydi	ايدي
volontarizm	وولونتاريزم
ab-came	آبجامه
segban-ı cedid	سگبان جديد
nahiran	ناحران
kredi kartı	قره دي قارتي
saadet-name	سعادتنامه
ibate	اباته
saadet-resan	سعادت رسان
murtabıt	مرتبط
sağlanma	صاغلانمه 
biricik	بريجك
cılk etmek	جيلق ايتمك
karcığar	قارجيغار
hacet-mend	حاجتمند
ramad	رماد
bastırmak	باصديرمق
villa	ويلله
zındık	زنديق
kartal	قارتال
maşraba	مشربه
barekte	باركت
çeşnici	چاشنيجي
hiperboloidal	هيپربولوئيدال
akıl kutusu	عقل قوطوسي
nevair	نوائر
hücu	هجوع
mayın	مايين
ilzak	الزاق
mahva	مخوا 
yan yargıcı	يان يارغيجي
methüsena	مدح و ثنا
secfan	سجفان
mihaniki kıraet	ميحانيكي قرائت
besr	بثر
irsal-i rusül	ارسال رسل
mesab	مثاب
ray-gan	رايگان
köktenci	كوكدنجي
tekrarlatma	تكرارلاتمه 
tenakkut	تنقط
zecca	زجا
arısoy	آري صوي
müftabih	مفتا به
softalaşmak	صوفته لاشمق
televizyoncu	تله ويزيونجي
teaddüd	تعدد
atımcı	آتيمجي
gül	گول
veto etmek	وتو ايتمك
cihanbeyli	جهانبگلي
amazon	آمازون
elmas-rize	الماسريزه
tanifat	تعنيفات
kuşk	كوشك
lemsiyet	لمسيت
aşağı derbend	آشاغي دربند
alendat	علندات
komedyacı	قومديه جي
müsbit	مثبت
mukatelat	مقاتلات
cürmuz	جرموز
darlaştırmak	طارلاشديرمق
nazariye	نظريه
elektropozitif	الكترو پوزيتيف
havuç	هاووچ
huruc bi-sunihi	خروج بصنعه
geçivan	گچوان
destekli	دستكلي
çiçeksime	چيچكسيمه
mend	مند
para etmek	پاره ايتمك
vergi beyannamesi	ويرگي بياننامه سي
takti etmek	تقطيع ايتمك
gaşan	غشان
hidrodinamik	هيدرو ديناميك
hatt-ı amudi	خط عمودي
müteammidin	متعمدين
arnavutluk	آرناودلق 
kırpışma	قيرپيشمه 
berbad	برباد
müstehil	مستحيل
eb-i müşfik	اب مشفق
müteessir	متأثر
sanatsever	صنعت سور
kurzum	قرزوم
fettah	فتاح
her-çend	هر چند
köpürme	كوپورمه
merh	مره
zeytinsiz	زيتونسز
kumistan	قومستان
şeanla	شعنلع
anapara	آنا پاره
kamet	قامت
afa	عفا
mameza	مامضا 
işha	اشحا
eznem	ازنم
çürükçül	چوروكچول
gelberi	گلبري
mefkur	مفقور
ıhlaf	اخلاف
günü birlik	گوني برلك
yoksuzluk	يوقسزلق
fem-i nehr	فم نهر
melas	ملاث
üçgen prizma	أوچگن پريزمه
netice	نتيجه
alman gümüşü	آلمان گوموشي
koyunoğlu	قويون اوغلي
metaib	مطائب
zem	ذم
işa	عشا
küçükayı	كوچك آيي
mecrur	مجرور
damak eteği	طاماق اتگي
parse	پارسه
ıtabe	اطابه
sızlama	صيزلامه 
izdira	ازدرا
sevinme	سوينمه
dest-i gaybi	دست غيبي
tahcir	تحجير
tuvvel	طول
vesik	وثيق
demirşah	دميرشاه
rime	ريمه
balık tutkalı	باليق طوتقالي
yer servisi	ير سرويسي
rezeksiyon	رزكسييون
belkıran	بل قران
lil-müttekin	للمتقين
tırnaklık	طيرناقلق
hamer	حمر
tadud	تعضوض
oluklaşmak	اولوقلاشمق
şah-var	شاهوار
dar-ı ridde	دار رده
kurutulma	قوروتولمه 
pay-zen	پايزن
veri ortamı	ويري اورتامي
yolcu etmek	يولجي ايتمك
yozlaştırma	يوزلاشديرمه 
ameliyat	عمليات
tembihleme	تنبيهله مه
batın	باطن
sü	سي
toköz	طوق أوز
budanış	بودانيش
resed	رسد
kuslub	قصلب
ceraim	جرائم
eli sıkı	الي صيقي
detektif	ددكتيف
sarahat	صراحت
görünmek	گورونمك
eşkar	اشقر
erguvangiller	ارغوانگيللر
geçirim	گچيريم
efrad-ı adide	افراد عديده
gürbe	گربه
içtima	اجتماع
mutur	مطور
bulada	بولاده
muvasala	مواصله
tokatçılık	توقاتجيلق
kesenkes	كسن كس
yelpaze tonoz	يلپازه طونوز
haşlamak	خاشلامق
kapı mandalı	قاپي ماندالي
bimare	بيماره
nasuh	نصوح
tarihi	تاريخي
mütecanis	متجانس
kec-külah	كج كلاه
arec	آرج
müşar	مشار
abadi	آبادي
esna-yı harb	اثناي حرب
bayramlaşmak	بايراملاشمق
eyvan	ايوان
birleşik kelime	برلشيك كلمه
genzel	گڭزل
mefafun	مفافون
maani-i mukaddese	معانئ مقدسه
kokmak	قوقمق
olgunlaşmak	اولغونلاشمق
pirelendirme	پيره لنديرمه
bulgaristan	بولغارستان 
tesis	تأسيس
rusça	روسجه
cenubi	جنوبي
hüsrevan	خسروان
ütülenmek	أوتولنمك
ferit	فريد
müktesebat	مكتسبات
pepemelik	پپه مه لك
haberler	خبرلر
zevali saat	زوالي ساعت
sirk	سيرك
halail	حلائل
koç yiğit	قوچ ييگيت
gamgama	غمغمه
mukaddeme-i istisnaiye	مقدمۀ استثنائيه
melekül-emtar	ملك الامطار
transit	ترانسيت
ehram-ı müsellesi	اهرام مثلثي
bıraktırmak	بيراقديرمق
nim-zinde	نيم زنده
yazılma	يازيلمه 
emraz-ı nisaiye	امراض نسائيه
tab-dih	تابده
mihrani	مهراني
teleclüc	تلجلج
yüksel	يوكسل
sözlükçülük	سوزلكجيلك
mukanna	مقنع
dıban	ضبعان
itham	اتهام
gecikilmek	گجيكيلمك
piyazlamak	پيازلامق
bildirme kipi	بيلديرمه كيپي
sıyrılmak	صييريلمق
kaçar	قاچار
zarr	ضار
temriye	تمريه
sürfile yapmak	سورفيله ياپمق
kabile-i ubeyd	قبيلۀ عبيد
fıs	فيص
ateş-gede	آتشگده
nedan	ندان
büfeci	بوفه جي
zedelenmek	زده لنمك
bizr	بزر
yelkovan	يل قوغان
elif	الف
zacc	ظج
kırcahalil	قرجه خليل
sufruf	ثفروف
hemezat	همزات
tahavvüf	تخوف
azadelik	آزاده لك
mahiye	ماهيه
zikir-hane	ذكرخانه
sübbet	سبت
can	جان
tefarikul-asa	تفاريق العصا
zalimane	ظالمانه
gudruf-ı halkavi	غضروف حلقوي
takas etmek	تقاص ايتمك
fıstıkçı	فستقجي
aklah	اقلح
dest	دست
seml	سمل
şure-zar	شوره زار
zevce	زوجه
huru	خروع
ütü tahtası	أوتو تخته سي
suliyy	صلي
zafere	ظفره
yurttaşlık hukuku	يورتداشلق حقوقي
gülenbey	گولن بگ
nazi	نازع
müstenir	مستنير
frenk maydanozu	فرنك مايدانوزي
formül	فورمول
bereli	بره لي
fass	فص
geveze	گوه زه
sapıtma	صاپيتمه 
istiane	استعانه
falih	فالح
özel televizyon	أوزل تله ويزيون
boyalama	بويالامه 
şimrahiye	شمراخيه
köhneleşme	كهنه لشمه
dürur	درور
cazırdatmak	جازيرداتمق
örtbas	أورت باص
cüded	جدد
sefih	سفيه
fermude	فرموده
kavlıç	قاوليچ
gıbbet-tasdik	غب التصديق
hubi	خوبي
hums-i öşr	خمس عشر
insidad-ı ema	انسداد امعا
öncesiz	أوڭجه سز
ahkaf	احقاف
böğürtme	بوگورتمه
kıyın	قيين
bed-reftar	بد رفتار
asmani	آسماني
hint armudu	هند آرمودي
süyuh	سيوح
reym	ريم
tey	تيع
yol parası	يول پاره سي
donukluk	طوڭوقلق
mühendishane	مهندسخانه
salina	سلينه
mübayaa	مبايعه
murabahacılık	مرابحه جيلق
müdara	مدارا
oğuzalp	اوغوز آلپ
diza	ضيزا
muğ	مغ
sibernasyon	سيبرناسيون
menat	مناط
mincilab	منجلاب
sürçtürme	سورچديرمه
kurakır	قراقر
bahşende	بخشنده
mana-yı ismi	معناي اسمي
efin	افين
adaletli	عدالتلي
dağlı	داغلي
iftar vakti	افطار وقتي
yükleyiş	يوكله ييش
çocukluk	چوجقلق
buna	بوڭا
inat	عناد
sekk	سك
gülünç	گولونچ
karsız	كارسز
denet	دڭت
tekabbuh	تقبح
varsayımlı	وارصاييملي
sebike-i zehebiye	سبيكۀ ذهبيه
remende	رمنده
düşünülmek	دوشونولمك
li-aynihi haram	لعينه حرام
müzbid	مزبد
sırıtık	صيريتيق
müteharriyane	متحريانه
tehzibat	تهذيبات
zevg	زوغ
ayınga	آيينغه
veşk	وشك
kızılözen	قيزيل أوزن
hüseyinabad	حسين آباد
akdemin	اقدمين
disprosyum	ديسپروسيوم
çeribaşı	چري باشي
fışıldama	فيشيلدامه 
elmacık kemiği	الماجق كميگي
cehl-i mürekkeb	جهل مركب
bonbon	بونبون
hediye	هديه
burgulu	بورغولي
canice	جانيجه
ornitoloji	اورنيتولوژي
gıda pazarı	غدا پازاري
rekiz	ركيز
çarpıştırma	چارپيشديرمه 
radyoaktiflik	راديوآقتيفلك
hacc etme	حج ايتمه
licaf	لجاف
